SKU,QTY,ATTENTION,DATE,CUST PO NUMBER,ADDRESSEE,ADDRESS 1,ADDRESS 2,CITY,ZIP,COUNTRY,CUSTOMER
OGY-FPE1,240,,4/29/2021,31874,Allegro Ltd.,STL Limerick,Jamestown House Jamestown Road,Finglas,11,,02197
FPE-PM1,240,,4/29/2021,31874,Allegro Ltd.,STL Limerick,Jamestown House Jamestown Road,Finglas,11,,02197
OGY-FPE5,182,,4/29/2021,31874,Allegro Ltd.,STL Limerick,Jamestown House Jamestown Road,Finglas,11,,02197
FPE-PM5,182,,4/29/2021,31874,Allegro Ltd.,STL Limerick,Jamestown House Jamestown Road,Finglas,11,,02197
FPI1,160,,4/29/2021,31874,Allegro Ltd.,STL Limerick,Jamestown House Jamestown Road,Finglas,11,,02197
FPI5,154,,4/29/2021,31874,Allegro Ltd.,STL Limerick,Jamestown House Jamestown Road,Finglas,11,,02197
OGY-FPL5,126,,4/29/2021,31874,Allegro Ltd.,STL Limerick,Jamestown House Jamestown Road,Finglas,11,,02197
OGY-FPL1,160,,4/29/2021,31874,Allegro Ltd.,STL Limerick,Jamestown House Jamestown Road,Finglas,11,,02197
OGY-FMH1,200,,4/29/2021,31874,Allegro Ltd.,STL Limerick,Jamestown House Jamestown Road,Finglas,11,,02197
OGY-FMI1,200,,4/29/2021,31874,Allegro Ltd.,STL Limerick,Jamestown House Jamestown Road,Finglas,11,,02197
OGY-FMI4,240,,4/29/2021,31874,Allegro Ltd.,STL Limerick,Jamestown House Jamestown Road,Finglas,11,,02197
FMS1,240,,4/29/2021,31874,Allegro Ltd.,STL Limerick,Jamestown House Jamestown Road,Finglas,11,,02197
FMS4,150,,4/29/2021,31874,Allegro Ltd.,STL Limerick,Jamestown House Jamestown Road,Finglas,11,,02197
CAF15,36,,4/29/2021,31874,Allegro Ltd.,STL Limerick,Jamestown House Jamestown Road,Finglas,11,,02197
BOB-EU,48,,4/29/2021,31874,Allegro Ltd.,STL Limerick,Jamestown House Jamestown Road,Finglas,11,,02197
OGY-PPPC1,162,,4/29/2021,31874,Allegro Ltd.,STL Limerick,Jamestown House Jamestown Road,Finglas,11,,02197
HHM,120,,4/29/2021,31874,Allegro Ltd.,STL Limerick,Jamestown House Jamestown Road,Finglas,11,,02197
HFM,120,,4/29/2021,31874,Allegro Ltd.,STL Limerick,Jamestown House Jamestown Road,Finglas,11,,02197
AEOY,84,,4/29/2021,31874,Allegro Ltd.,STL Limerick,Jamestown House Jamestown Road,Finglas,11,,02197
